activity_id,customer_id,lead_id,activity_date,activity_type,channel,owner,outcome,duration_minutes
ACT-00091,CUST-0207,,2024-07-05,Call,Zoom,Giang Ho,Rescheduled,60
ACT-00092,CUST-0225,,2024-03-17,Meeting,Phone,An Nguyen,No Response,60
ACT-00093,CUST-0138,,2024-04-04,Call,Phone,Khanh Do,Follow-up Needed,20
ACT-00094,,LEAD-0093,2025-12-21,Email,Zoom,An Nguyen,Follow-up Needed,15
ACT-00095,CUST-0315,,2025-08-28,Meeting,Chat,Linh Vu,Completed,45
ACT-00096,CUST-0288,,2026-02-17,Email,In-person,Khanh Do,No Response,15
ACT-00097,CUST-0194,,2025-07-01,Support Follow-up,Chat,Khanh Do,Completed,20
ACT-00098,,LEAD-0541,2024-08-27,WhatsApp,In-person,Binh Tran,No Response,20
ACT-00099,,LEAD-0075,2025-01-07,Call,Zoom,Khanh Do,Completed,30
ACT-00100,,LEAD-0584,2025-04-10,Demo,Phone,Dung Pham,Completed,10
ACT-00101,CUST-0184,,2025-04-10,Support Follow-up,Chat,Chi Le,Completed,15
ACT-00102,,LEAD-0567,2024-01-06,WhatsApp,Zoom,Chi Le,Rescheduled,20
ACT-00103,CUST-0262,,2024-11-17,Call,In-person,Linh Vu,No Response,60
ACT-00104,CUST-0071,,2025-05-14,Meeting,In-person,Chi Le,Follow-up Needed,10
ACT-00105,CUST-0283,,2024-05-28,Meeting,Phone,Khanh Do,Rescheduled,30
ACT-00106,CUST-0084,,2024-05-24,WhatsApp,In-person,Huy Vo,No Response,5
ACT-00107,CUST-0136,,2026-01-08,Support Follow-up,Zoom,Giang Ho,Follow-up Needed,5
ACT-00108,,LEAD-0355,2025-11-28,Meeting,Zoom,Linh Vu,Follow-up Needed,10
ACT-00109,CUST-0259,,2024-05-09,Call,Chat,Chi Le,Completed,20
ACT-00110,CUST-0001,,2025-12-28,WhatsApp,Phone,An Nguyen,Completed,20
ACT-00111,CUST-0176,,2025-02-23,Meeting,Phone,Linh Vu,Completed,15
ACT-00112,CUST-0241,,2024-06-30,WhatsApp,Email,Huy Vo,Follow-up Needed,15
ACT-00113,CUST-0046,,2025-05-12,WhatsApp,Chat,Chi Le,Completed,15
ACT-00114,,LEAD-0247,2024-04-02,Email,In-person,Binh Tran,Completed,15
ACT-00115,CUST-0034,,2024-03-01,Meeting,Chat,An Nguyen,Completed,45
ACT-00116,CUST-0001,,2025-09-17,Email,In-person,Binh Tran,Rescheduled,5
ACT-00117,CUST-0219,,2024-03-23,Support Follow-up,Phone,Huy Vo,Completed,20
ACT-00118,CUST-0292,,2024-05-19,Email,Phone,An Nguyen,No Response,20
ACT-00119,CUST-0008,,2024-01-05,Demo,Zoom,Binh Tran,Follow-up Needed,45
ACT-00120,,LEAD-0576,2025-12-29,Meeting,Zoom,Dung Pham,Follow-up Needed,15
ACT-00121,,LEAD-0535,2025-04-24,Demo,Chat,Dung Pham,Follow-up Needed,30
ACT-00122,CUST-0305,,2024-09-20,Meeting,In-person,Binh Tran,Completed,60
ACT-00123,CUST-0320,,2026-03-23,Support Follow-up,Chat,Chi Le,Rescheduled,10
ACT-00124,,LEAD-0552,2024-03-25,Email,Phone,An Nguyen,Completed,5
ACT-00125,CUST-0288,,2025-11-10,WhatsApp,In-person,Dung Pham,Interested,5
ACT-00126,CUST-0152,,2024-08-06,Support Follow-up,Zoom,Linh Vu,Completed,10
ACT-00127,CUST-0078,,2025-03-06,WhatsApp,Phone,Khanh Do,Follow-up Needed,20
ACT-00128,CUST-0220,,2025-04-03,Email,Chat,Dung Pham,Rescheduled,15
ACT-00129,,LEAD-0555,2025-05-30,Email,Chat,Giang Ho,Rescheduled,15
ACT-00130,,LEAD-0392,2026-03-27,Support Follow-up,Zoom,Khanh Do,Follow-up Needed,5
ACT-00131,CUST-0028,,2025-04-01,Demo,Zoom,An Nguyen,Completed,30
ACT-00132,CUST-0181,,2024-03-22,Meeting,In-person,Chi Le,Completed,15
ACT-00133,,LEAD-0010,2025-08-31,Call,Chat,Huy Vo,Follow-up Needed,20
ACT-00134,CUST-0253,,2025-10-06,Support Follow-up,Zoom,An Nguyen,Interested,5
ACT-00135,,LEAD-0103,2024-03-26,Call,In-person,Khanh Do,Completed,60
ACT-00136,CUST-0169,,2026-04-04,Meeting,In-person,Khanh Do,Completed,60
ACT-00137,CUST-0013,,2025-02-19,Support Follow-up,Chat,Huy Vo,Follow-up Needed,15
ACT-00138,,LEAD-0275,2025-12-16,Call,Email,An Nguyen,Follow-up Needed,60
ACT-00139,CUST-0225,,2024-11-17,WhatsApp,Zoom,An Nguyen,Completed,20
ACT-00140,,LEAD-0052,2024-03-21,Meeting,Phone,Huy Vo,Completed,60
ACT-00141,,LEAD-0356,2026-03-28,Support Follow-up,Chat,Giang Ho,No Response,15
ACT-00142,CUST-0145,,2024-02-14,Demo,Phone,Linh Vu,Interested,15
ACT-00143,CUST-0282,,2024-02-20,Meeting,Chat,Huy Vo,Interested,15
ACT-00144,CUST-0034,,2024-02-19,Call,In-person,Giang Ho,Rescheduled,45
ACT-00145,CUST-0156,,2026-03-02,Support Follow-up,Phone,Dung Pham,Interested,5
ACT-00146,CUST-0179,,2024-05-09,Call,Email,Khanh Do,Completed,45
ACT-00147,CUST-0146,,2024-03-06,Call,Chat,Giang Ho,Interested,10
ACT-00148,,LEAD-0345,2025-09-22,WhatsApp,Email,Huy Vo,Completed,10
ACT-00149,,LEAD-0581,2024-12-14,Email,Phone,Huy Vo,Completed,5
ACT-00150,CUST-0250,,2025-08-06,WhatsApp,Phone,An Nguyen,Completed,20
ACT-00151,,LEAD-0561,2024-03-01,Call,Chat,Khanh Do,Interested,30
ACT-00152,CUST-0124,,2025-05-05,WhatsApp,Zoom,Chi Le,Interested,10
ACT-00153,CUST-0292,,2024-10-22,Meeting,Chat,Huy Vo,Follow-up Needed,10
ACT-00154,CUST-0252,,2025-04-14,Demo,Email,Huy Vo,Completed,15
ACT-00155,CUST-0179,,2024-01-12,Call,In-person,Dung Pham,Rescheduled,20
ACT-00156,CUST-0201,,2024-07-07,Meeting,Phone,Linh Vu,No Response,15
ACT-00157,CUST-0096,,2025-11-08,WhatsApp,Email,Dung Pham,Follow-up Needed,15
ACT-00158,CUST-0049,,2024-03-12,Call,Phone,An Nguyen,Interested,30
ACT-00159,,LEAD-0048,2024-12-30,Email,Phone,Khanh Do,No Response,10
ACT-00160,CUST-0060,,2024-03-31,Demo,In-person,Linh Vu,Completed,15
ACT-00161,CUST-0004,,2024-10-15,Support Follow-up,Zoom,Linh Vu,Completed,20
ACT-00162,CUST-0290,,2024-07-09,Call,Email,Khanh Do,Completed,30
ACT-00163,CUST-0124,,2025-03-05,Support Follow-up,Email,An Nguyen,Follow-up Needed,10
ACT-00164,CUST-0182,,2025-06-17,Email,Phone,Giang Ho,No Response,20
ACT-00165,,LEAD-0611,2024-05-09,Call,In-person,Binh Tran,Completed,20
ACT-00166,,LEAD-0232,2025-12-31,WhatsApp,Phone,Chi Le,Completed,10
ACT-00167,CUST-0312,,2026-01-12,Support Follow-up,Email,Binh Tran,Completed,5
ACT-00168,CUST-0251,,2026-01-10,Call,Zoom,Binh Tran,No Response,10
ACT-00169,CUST-0109,,2025-07-02,Meeting,Zoom,Binh Tran,Follow-up Needed,20
ACT-00170,CUST-0238,,2025-12-07,Demo,Email,Binh Tran,Completed,45
ACT-00171,CUST-0026,,2026-02-07,Meeting,Email,Linh Vu,No Response,60
ACT-00172,CUST-0111,,2024-03-09,WhatsApp,In-person,Chi Le,No Response,20
ACT-00173,,LEAD-0522,2024-10-09,Meeting,Zoom,An Nguyen,Interested,45
ACT-00174,CUST-0245,,2024-06-15,Call,Phone,Chi Le,Interested,45
ACT-00175,CUST-0066,,2025-10-02,Email,Email,Chi Le,Completed,5
ACT-00176,CUST-0250,,2024-10-12,Support Follow-up,Email,Chi Le,Rescheduled,5
ACT-00177,CUST-0185,,2025-08-14,WhatsApp,Email,An Nguyen,Interested,5
ACT-00178,CUST-0107,,2024-02-21,Meeting,Email,Dung Pham,Follow-up Needed,15
ACT-00179,,LEAD-0510,2025-01-02,Email,Phone,Dung Pham,Completed,10
ACT-00180,CUST-0067,,2025-05-30,Call,In-person,Huy Vo,Follow-up Needed,30
ACT-00181,CUST-0101,,2024-01-03,Support Follow-up,Phone,Huy Vo,Interested,10
ACT-00182,,LEAD-0451,2025-04-12,Demo,Zoom,Khanh Do,Follow-up Needed,10
ACT-00183,CUST-0115,,2024-05-15,Call,Phone,Chi Le,Rescheduled,10
ACT-00184,CUST-0038,,2025-04-25,Meeting,In-person,An Nguyen,Follow-up Needed,15
ACT-00185,CUST-0272,,2024-08-11,Call,Phone,Giang Ho,Completed,60
ACT-00186,CUST-0142,,2024-03-09,WhatsApp,In-person,Khanh Do,Completed,5
ACT-00187,,LEAD-0208,2024-05-01,Demo,In-person,An Nguyen,No Response,20
ACT-00188,CUST-0189,,2025-03-03,Demo,In-person,An Nguyen,Completed,60
ACT-00189,CUST-0079,,2024-03-27,WhatsApp,Chat,Khanh Do,Completed,5
ACT-00190,CUST-0147,,2026-03-08,Meeting,Zoom,An Nguyen,No Response,30
ACT-00191,CUST-0101,,2025-12-02,Meeting,Chat,Dung Pham,Interested,45
ACT-00192,CUST-0005,,2024-11-05,Support Follow-up,Chat,Khanh Do,Completed,10
ACT-00193,CUST-0087,,2025-01-29,Email,In-person,Binh Tran,Completed,10
ACT-00194,CUST-0211,,2025-11-12,Email,Zoom,Huy Vo,Completed,10
ACT-00195,CUST-0264,,2025-06-09,Support Follow-up,Phone,Linh Vu,Rescheduled,5
ACT-00196,,LEAD-0418,2024-05-31,Support Follow-up,Email,Giang Ho,Follow-up Needed,5
ACT-00197,CUST-0293,,2025-11-30,Demo,Zoom,Dung Pham,Completed,20
ACT-00198,,LEAD-0138,2026-01-07,Meeting,In-person,Chi Le,Follow-up Needed,60
ACT-00199,CUST-0273,,2024-08-29,Email,Email,Giang Ho,Rescheduled,5
ACT-00200,,LEAD-0247,2024-03-20,Call,Zoom,Linh Vu,Completed,20
ACT-00201,,LEAD-0274,2025-01-13,Demo,In-person,Giang Ho,No Response,30
ACT-00202,CUST-0138,,2026-01-09,Support Follow-up,Zoom,Dung Pham,Completed,10
ACT-00203,CUST-0289,,2025-04-28,Meeting,In-person,Khanh Do,Rescheduled,45
ACT-00204,,LEAD-0392,2026-04-06,Call,In-person,Dung Pham,Follow-up Needed,15
ACT-00205,CUST-0176,,2024-10-19,Meeting,Phone,An Nguyen,Interested,45
ACT-00206,,LEAD-0314,2025-06-04,Call,Zoom,Chi Le,Follow-up Needed,45
ACT-00207,CUST-0191,,2025-08-12,Demo,In-person,Giang Ho,Follow-up Needed,15
ACT-00208,CUST-0123,,2024-01-14,Demo,Zoom,Chi Le,Completed,60
ACT-00209,CUST-0061,,2024-09-29,Email,In-person,Binh Tran,Rescheduled,15
ACT-00210,CUST-0136,,2025-10-28,WhatsApp,Chat,Dung Pham,Completed,10
ACT-00211,,LEAD-0120,2024-11-04,Meeting,Zoom,Dung Pham,Interested,10
ACT-00212,CUST-0212,,2024-08-13,Support Follow-up,In-person,Dung Pham,Completed,5
ACT-00213,CUST-0063,,2025-05-22,WhatsApp,Zoom,Chi Le,Completed,5
ACT-00214,CUST-0282,,2025-04-02,Call,Chat,Giang Ho,Completed,15
ACT-00215,CUST-0144,,2026-01-26,Email,In-person,Linh Vu,Completed,20
ACT-00216,CUST-0255,,2024-07-17,Support Follow-up,Email,An Nguyen,Interested,20
ACT-00217,,LEAD-0152,2024-08-15,Demo,In-person,Linh Vu,Completed,30
ACT-00218,CUST-0166,,2025-02-20,Email,Email,Linh Vu,Completed,15
ACT-00219,,LEAD-0048,2026-02-20,Support Follow-up,Zoom,Chi Le,Follow-up Needed,5
ACT-00220,CUST-0189,,2024-11-29,Support Follow-up,Chat,An Nguyen,Completed,10
ACT-00221,CUST-0092,,2026-01-16,Email,Phone,Giang Ho,Completed,20
ACT-00222,CUST-0100,,2024-05-02,Demo,Phone,Giang Ho,Completed,45
ACT-00223,CUST-0064,,2026-02-26,Email,In-person,Binh Tran,No Response,10
ACT-00224,,LEAD-0204,2024-05-04,Email,In-person,Huy Vo,Completed,10
ACT-00225,CUST-0201,,2024-06-29,Support Follow-up,Phone,Chi Le,Interested,20
ACT-00226,,LEAD-0353,2024-05-10,Support Follow-up,Zoom,Huy Vo,Follow-up Needed,10
ACT-00227,,LEAD-0152,2024-06-22,Email,In-person,Dung Pham,Interested,10
ACT-00228,,LEAD-0618,2025-09-14,Email,Phone,Giang Ho,Completed,20
ACT-00229,CUST-0114,,2026-03-11,Meeting,Email,Chi Le,Completed,30
ACT-00230,CUST-0180,,2024-02-05,Demo,In-person,Binh Tran,Follow-up Needed,45
ACT-00231,,LEAD-0047,2025-06-07,Email,In-person,Linh Vu,Follow-up Needed,5
ACT-00232,,LEAD-0163,2024-07-23,Demo,Phone,Binh Tran,Completed,10
ACT-00233,CUST-0052,,2024-12-28,Support Follow-up,Chat,Dung Pham,Follow-up Needed,10
ACT-00234,,LEAD-0505,2025-11-13,Support Follow-up,In-person,Giang Ho,No Response,15
ACT-00235,,LEAD-0490,2024-07-24,Meeting,In-person,Giang Ho,Completed,15
ACT-00236,,LEAD-0222,2025-12-08,Email,Email,Chi Le,Follow-up Needed,5
ACT-00237,CUST-0312,,2024-10-26,Meeting,Email,Huy Vo,Interested,60
ACT-00238,,LEAD-0580,2024-06-06,Support Follow-up,Email,Chi Le,Follow-up Needed,15
ACT-00239,CUST-0194,,2024-07-06,WhatsApp,Zoom,Dung Pham,Completed,5
ACT-00240,,LEAD-0249,2025-10-12,Support Follow-up,In-person,Dung Pham,Completed,5
ACT-00241,CUST-0140,,2025-02-10,Support Follow-up,In-person,Giang Ho,Completed,10
ACT-00242,CUST-0162,,2024-08-22,WhatsApp,Zoom,Binh Tran,Interested,15
ACT-00243,CUST-0037,,2024-08-13,Demo,Email,Khanh Do,Interested,45
ACT-00244,,LEAD-0409,2024-08-22,WhatsApp,In-person,Huy Vo,Completed,15
ACT-00245,,LEAD-0488,2024-02-16,Meeting,Zoom,Giang Ho,Interested,15
ACT-00246,,LEAD-0069,2025-01-12,Call,In-person,Giang Ho,Completed,45
ACT-00247,,LEAD-0351,2024-12-03,Demo,Zoom,An Nguyen,Interested,60
ACT-00248,CUST-0193,,2025-08-29,Email,Chat,Huy Vo,No Response,20
ACT-00249,CUST-0095,,2024-03-02,Demo,Phone,Chi Le,Completed,15
ACT-00250,CUST-0082,,2025-11-13,Call,Phone,Linh Vu,Completed,60
ACT-00251,CUST-0077,,2024-11-10,Call,Email,Dung Pham,Follow-up Needed,30
ACT-00252,,LEAD-0636,2025-02-17,Demo,Chat,Linh Vu,Completed,45
ACT-00253,,LEAD-0486,2024-08-08,Call,Email,Khanh Do,No Response,30
ACT-00254,CUST-0309,,2026-02-27,Email,Email,Linh Vu,Interested,5
ACT-00255,CUST-0174,,2025-12-13,WhatsApp,Chat,Linh Vu,Interested,20
ACT-00256,CUST-0107,,2025-10-08,Support Follow-up,Chat,Giang Ho,Completed,5
ACT-00257,CUST-0196,,2024-12-02,Meeting,Email,An Nguyen,Rescheduled,60
ACT-00258,,LEAD-0593,2025-10-14,Meeting,Email,Dung Pham,Completed,10
ACT-00259,CUST-0301,,2024-03-11,Meeting,Phone,Huy Vo,No Response,30
ACT-00260,CUST-0145,,2025-07-30,Support Follow-up,In-person,Giang Ho,No Response,5
ACT-00261,CUST-0216,,2025-07-28,Demo,In-person,Giang Ho,Completed,60
ACT-00262,,LEAD-0509,2025-02-14,Meeting,Chat,Linh Vu,Interested,20
ACT-00263,,LEAD-0092,2025-03-05,Email,In-person,Huy Vo,No Response,5
ACT-00264,CUST-0170,,2024-02-03,Call,In-person,Dung Pham,Completed,60
ACT-00265,CUST-0102,,2024-02-08,WhatsApp,In-person,Giang Ho,Interested,10
ACT-00266,,LEAD-0452,2024-03-21,Call,Chat,Huy Vo,Completed,60
ACT-00267,CUST-0165,,2024-07-29,Call,Zoom,Linh Vu,Interested,15
ACT-00268,CUST-0057,,2024-06-14,WhatsApp,Email,Linh Vu,Completed,10
ACT-00269,CUST-0121,,2024-03-21,Meeting,Chat,Giang Ho,Follow-up Needed,45
ACT-00270,,LEAD-0584,2026-02-20,Meeting,Chat,Khanh Do,Completed,20
ACT-00271,CUST-0223,,2024-09-10,Meeting,Zoom,Giang Ho,Follow-up Needed,20
ACT-00272,,LEAD-0315,2025-12-27,Meeting,Phone,Giang Ho,Interested,30
ACT-00273,CUST-0309,,2025-08-26,Email,Chat,Dung Pham,Follow-up Needed,15
ACT-00274,CUST-0231,,2024-10-18,Email,Chat,Giang Ho,Follow-up Needed,15
ACT-00275,CUST-0288,,2024-06-24,Email,Email,An Nguyen,Interested,20
ACT-00276,CUST-0245,,2026-01-10,Email,Chat,Giang Ho,Completed,10
ACT-00277,CUST-0005,,2026-02-17,WhatsApp,In-person,Chi Le,Completed,10
ACT-00278,CUST-0246,,2026-02-18,Call,In-person,Huy Vo,Completed,45
ACT-00279,CUST-0147,,2025-10-07,Support Follow-up,In-person,Huy Vo,Completed,10
ACT-00280,,LEAD-0129,2024-02-08,Email,Phone,An Nguyen,Completed,20
ACT-00281,,LEAD-0391,2024-03-06,Email,Chat,Dung Pham,Interested,5
ACT-00282,CUST-0183,,2024-04-19,Email,Phone,Dung Pham,Follow-up Needed,20
ACT-00283,CUST-0202,,2024-12-30,WhatsApp,Chat,Khanh Do,Completed,15
ACT-00284,CUST-0242,,2024-01-03,WhatsApp,In-person,Binh Tran,Rescheduled,10
ACT-00285,,LEAD-0268,2025-12-23,Meeting,Chat,Giang Ho,Completed,60
ACT-00286,CUST-0199,,2024-08-14,Call,Phone,Dung Pham,Rescheduled,45
ACT-00287,CUST-0105,,2024-10-30,Email,Email,Khanh Do,Completed,10
ACT-00288,CUST-0128,,2024-07-18,Meeting,In-person,Giang Ho,Completed,30
ACT-00289,CUST-0056,,2024-01-20,Meeting,Email,Linh Vu,Interested,30
ACT-00290,CUST-0203,,2026-03-11,WhatsApp,Phone,An Nguyen,Interested,15
ACT-00291,,LEAD-0145,2025-08-05,Meeting,In-person,An Nguyen,Completed,60
ACT-00292,CUST-0250,,2025-03-24,Meeting,Phone,Linh Vu,Completed,10
ACT-00293,CUST-0164,,2024-02-29,Email,Email,Huy Vo,Rescheduled,10
ACT-00294,CUST-0287,,2025-09-16,Meeting,In-person,Khanh Do,Completed,30
ACT-00295,,LEAD-0164,2024-07-22,Email,Email,Chi Le,Interested,10
ACT-00296,CUST-0009,,2024-05-17,Meeting,In-person,Binh Tran,Completed,10
ACT-00297,CUST-0113,,2024-07-21,Meeting,In-person,Linh Vu,No Response,60
ACT-00298,CUST-0220,,2026-03-13,Demo,Zoom,An Nguyen,No Response,30
ACT-00299,CUST-0245,,2025-09-16,WhatsApp,Zoom,Huy Vo,Completed,5
ACT-00300,CUST-0190,,2024-08-03,Call,Phone,Chi Le,Follow-up Needed,60
ACT-00301,CUST-0133,,2026-04-15,Demo,Email,Dung Pham,Completed,20
ACT-00302,,LEAD-0135,2024-02-17,Email,Chat,Giang Ho,No Response,5
ACT-00303,CUST-0084,,2024-06-16,Support Follow-up,Email,Giang Ho,Completed,15
ACT-00304,CUST-0212,,2024-09-22,Support Follow-up,Chat,Linh Vu,Interested,5
ACT-00305,,LEAD-0488,2025-10-19,Support Follow-up,In-person,Huy Vo,Follow-up Needed,20
ACT-00306,CUST-0308,,2024-07-06,Meeting,Phone,Khanh Do,Completed,45
